query,intent
The fee payment portal shows an error during transaction,Financial_Issue
Where can I find the holiday list for the current semester?,General_Inquiry
My internet connection in the hostel is not working properly,Technical_Issue
I need a bonafide certificate for my internship application,Administrative_Request
The hostel mess food quality has declined recently,Hostel_Complaint
When will the semester results be declared?,Academic_Query
The student portal keeps showing an error when I try to log in,Technical_Issue
Where can I request academic transcripts?,Administrative_Request
The electricity in my hostel room keeps shutting down,Hostel_Complaint
What are the working hours of the university library?,General_Inquiry
My scholarship payment has not been credited to my account yet,Financial_Issue
How can I apply for exam paper revaluation?,Academic_Query
The campus WiFi disconnects frequently during online classes,Technical_Issue
How can I contact the admissions department?,General_Inquiry
My student ID card was lost and I need a replacement,Administrative_Request
The water cooler in the hostel corridor is broken,Hostel_Complaint
Where can I check the timetable for next week classes?,Academic_Query
I accidentally paid the tuition fees twice and need a refund,Financial_Issue
The university website is not loading on my browser,Technical_Issue
Where can I locate the campus health center?,General_Inquiry
The corridor lights in the hostel are not functioning,Hostel_Complaint
How do I apply for a transfer certificate?,Administrative_Request
I want to know the deadline for submitting assignments,Academic_Query
My payment was deducted but the portal still shows pending,Financial_Issue
The computer lab system freezes whenever I open the software,Technical_Issue
Is the library open during weekends?,General_Inquiry
The bathroom cleaning is not done regularly in the hostel,Hostel_Complaint
I need document verification for an external application,Administrative_Request
When will internal assessment marks be uploaded?,Academic_Query
Where can I check the fee structure for this semester?,Financial_Issue
The learning management system page crashes during assignment upload,Technical_Issue
Where can I get information about student clubs?,General_Inquiry
The ceiling fan in my room is not working,Hostel_Complaint
I need my admission confirmation letter for documentation,Administrative_Request
Has the midterm examination schedule been released?,Academic_Query
When will the scholarship amount be transferred?,Financial_Issue
The campus internet is extremely slow this evening,Technical_Issue
Where is the principal’s office located on campus?,General_Inquiry
The hostel elevator is out of service again,Hostel_Complaint
How can I request a duplicate student ID card?,Administrative_Request
Where can I download the official class timetable?,Academic_Query
Is there an option to pay fees in installments?,Financial_Issue
The website dashboard is not displaying properly,Technical_Issue
How do I access the campus transportation service?,General_Inquiry
The hostel WiFi signal is very weak at night,Hostel_Complaint
How can I correct my name in university records?,Administrative_Request
How can I apply for a backlog examination?,Academic_Query
My scholarship application status still shows pending,Financial_Issue
I am getting a network error while accessing the student portal,Technical_Issue
Where can I check announcements for campus events?,General_Inquiry
The air conditioner in my hostel room is not cooling properly,Hostel_Complaint
Where can I submit documents for verification?,Administrative_Request
When will the final semester examination schedule be announced?,Academic_Query
The transaction failed but money was deducted from my account,Financial_Issue
The online portal page is stuck on the loading screen,Technical_Issue
What are the official office hours of the administration office?,General_Inquiry
The water pressure in the bathroom is extremely low,Hostel_Complaint
I want to update my personal information in university records,Administrative_Request
How do I check my academic grades online?,Academic_Query
My fee payment confirmation email has not arrived,Financial_Issue
I cannot connect my device to the campus network,Technical_Issue
How do I contact the university helpline?,General_Inquiry
The hostel internet connection disconnects frequently,Hostel_Complaint
I need an official letter confirming my student status,Administrative_Request
Where can I access study materials for the course?,Academic_Query
The scholarship amount credited is less than expected,Financial_Issue
The server seems to be down since morning,Technical_Issue
Where is the student support office located?,General_Inquiry
The hostel garbage bins are not being emptied regularly,Hostel_Complaint
I want to update my contact information in the student portal,Administrative_Request
When will the academic calendar be updated?,Academic_Query
The payment gateway keeps timing out during payment,Financial_Issue
My account login credentials are correct but access is denied,Technical_Issue
What is the contact number for the student help desk?,General_Inquiry
The hostel dining hall is overcrowded during dinner time,Hostel_Complaint
How can I apply for a temporary ID card?,Administrative_Request
How can I register for elective courses?,Academic_Query
How can I verify my fee payment status?,Financial_Issue
The online lecture platform is not opening on my laptop,Technical_Issue
Where can I find information about campus events?,General_Inquiry
My room window lock is broken,Hostel_Complaint
I need a stamped copy of my enrollment letter,Administrative_Request
What is the last date to register for the upcoming exam?,Academic_Query
How can I update my bank details for scholarship?,Financial_Issue
My account verification email never arrived,Technical_Issue
Where is the campus information desk?,General_Inquiry
The hostel heating system is not functioning properly,Hostel_Complaint
I need help with document authentication,Administrative_Request
When will the project submission deadline be announced?,Academic_Query
The finance portal is not displaying my payment history,Financial_Issue
The university mobile app is not functioning correctly,Technical_Issue
Is there a campus map available online?,General_Inquiry
The study room lights are flickering constantly,Hostel_Complaint
How do I apply for a duplicate admission letter?,Administrative_Request
Where can I find the syllabus for this semester?,Academic_Query
Where can I find the financial aid application form?,Financial_Issue
The system in the library computer lab is not responding,Technical_Issue
How can I contact my course instructor?,Academic_Query
How can I apply for financial assistance?,Financial_Issue
Where can I collect official certificates from the administration?,Administrative_Request
When will the orientation program for new students begin?,General_Inquiry
The laundry machines in the hostel are not working,Hostel_Complaint
The university reception contact number please,General_Inquiry
The campus help desk location please,General_Inquiry
